1,#FFFAFA
2,#F8F8FF
3,#F5F5F5
4,#DCDCDC
5,#FFFAF0
6,#FDF5E6
7,#FAF0E6
8,#FAEBD7
9,#FFEFD5
10,#FFEBCD
11,#FFE4C4
12,#FFDAB9
13,#FFDEAD
14,#FFE4B5
15,#FFF8DC
16,#FFFFF0
17,#FFFACD
18,#FFF5EE
19,#F0FFF0
20,#F5FFFA
21,#F0FFFF
22,#F0F8FF
23,#E6E6FA
24,#FFF0F5
25,#FFE4E1
26,#FFFFFF
27,#000000
28,#2F4F4F
29,#696969
30,#708090
31,#778899
32,#BEBEBE
33,#D3D3D3
34,#191970
35,#000080
36,#6495ED
37,#483D8B
38,#6A5ACD
39,#7B68EE
40,#8470FF
41,#0000CD
42,#4169E1
43,#0000FF
44,#1E90FF
45,#00BFFF
46,#87CEEB
47,#87CEFA
48,#4682B4
49,#B0C4DE
50,#ADD8E6
51,#B0E0E6
52,#AFEEEE
53,#00CED1
54,#48D1CC
55,#40E0D0
56,#00FFFF
57,#E0FFFF
58,#5F9EA0
59,#66CDAA
60,#7FFFD4
61,#006400
62,#556B2F
63,#8FBC8F
64,#2E8B57
65,#3CB371
66,#20B2AA
67,#98FB98
68,#00FF7F
69,#7CFC00
70,#00FF00
71,#7FFF00
72,#00FA9A
73,#ADFF2F
74,#32CD32
75,#9ACD32
76,#228B22
77,#6B8E23
78,#BDB76B
79,#EEE8AA
80,#FAFAD2
81,#FFFFE0
82,#FFFF00
83,#FFD700
84,#EEDD82
85,#DAA520
86,#B8860B
87,#BC8F8F
88,#CD5C5C
89,#8B4513
90,#A0522D
91,#CD853F
92,#DEB887
93,#F5F5DC
94,#F5DEB3
95,#F4A460
96,#D2B48C
97,#D2691E
98,#B22222
99,#A52A2A
100,#E9967A
101,#FA8072
102,#FFA07A
103,#FFA500
104,#FF8C00
105,#FF7F50
106,#F08080
107,#FF6347
108,#FF4500
109,#FF0000
110,#FF69B4
111,#FF1493
112,#FFC0CB
113,#FFB6C1
114,#DB7093
115,#B03060
116,#C71585
117,#D02090
118,#FF00FF
119,#EE82EE
120,#DDA0DD
121,#DA70D6
122,#BA55D3
123,#9932CC
124,#9400D3
125,#8A2BE2
126,#A020F0
127,#9370DB
128,#D8BFD8
129,#FFFAFA
